[2021-06-03 23:13:37]	,        LuaContext::CityBannerManager, 9.12 ms
[2021-06-03 23:13:37]	,    SerialEvent::GameCoreEventPlaybackComplete, 9.23 ms
[2021-06-03 23:13:37]	, WONDERMOVIE: Turn number: 230. Visible mesh count: 386
[2021-06-03 23:13:37]	,----- FRAME: 28173 time: 32.79ms Moving avg: 16.28ms 269 frames since last 
[2021-06-03 23:13:38]	,                    LuaContext::CityBannerManager, 13.35 ms
[2021-06-03 23:13:38]	,                SerialEvent::GameCoreEventPlaybackComplete, 13.52 ms
[2021-06-03 23:13:38]	, WONDERMOVIE: Turn number: 230. Visible mesh count: 386
[2021-06-03 23:13:38]	,----- FRAME: 28188 time: 28.69ms Moving avg: 17.57ms 16 frames since last 
[2021-06-03 23:13:38]	,                    LuaContext::CityBannerManager, 10.68 ms
[2021-06-03 23:13:38]	,                SerialEvent::GameCoreEventPlaybackComplete, 10.89 ms
[2021-06-03 23:13:38]	, WONDERMOVIE: Turn number: 230. Visible mesh count: 386
[2021-06-03 23:13:38]	,----- FRAME: 28200 time: 25.53ms Moving avg: 17.75ms 13 frames since last 
[2021-06-03 23:13:38]	,                    LuaContext::CityBannerManager, 9.49 ms
[2021-06-03 23:13:38]	,                SerialEvent::GameCoreEventPlaybackComplete, 9.65 ms
[2021-06-03 23:13:38]	,----- FRAME: 28224 time: 28.43ms Moving avg: 18.67ms 25 frames since last 
[2021-06-03 23:13:40]	,    DoGameStateSaveRequest, 716.17 ms
[2021-06-03 23:13:40]	,SerialEvent::PreTurnBegin, 717.44 ms
[2021-06-03 23:13:40]	,----- FRAME: 28324 time: 14.83ms Moving avg: 16.40ms 101 frames since last 
[2021-06-03 23:13:40]	,        GameCoreEvent::TurnBegin, 9.10 ms
[2021-06-03 23:13:40]	,----- FRAME: 28327 time: 62.16ms Moving avg: 17.15ms 4 frames since last 
[2021-06-03 23:13:40]	,                LuaContext::CityBannerManager, 9.14 ms
[2021-06-03 23:13:40]	,            GameCoreEvent::PlayerTurnActivated, 9.53 ms
[2021-06-03 23:13:40]	,                    LuaContext::CityBannerManager, 5.53 ms
[2021-06-03 23:13:40]	,                SerialEvent::GameCoreEventPlaybackComplete, 5.64 ms
[2021-06-03 23:13:40]	, WONDERMOVIE: Turn number: 231. Visible mesh count: 394
[2021-06-03 23:13:40]	,----- FRAME: 28335 time: 40.89ms Moving avg: 17.40ms 9 frames since last 
[2021-06-03 23:13:56]	,WorldView_Update_JobSetWait, 15.73 ms
[2021-06-03 23:13:56]	,----- FRAME: 29252 time: 24.02ms Moving avg: 17.10ms 918 frames since last 
[2021-06-03 23:13:59]	,SerialEvent::UnitSelectionChanged, 5.52 ms
[2021-06-03 23:13:59]	,----- FRAME: 29475 time: 15.98ms Moving avg: 16.07ms 224 frames since last 
[2021-06-03 23:14:04]	,LuaContext::CityBannerManager, 9.17 ms
[2021-06-03 23:14:04]	,SerialEvent::GameCoreEventPlaybackComplete, 9.27 ms
[2021-06-03 23:14:04]	, WONDERMOVIE: Turn number: 231. Visible mesh count: 394
[2021-06-03 23:14:04]	,----- FRAME: 29744 time: 27.27ms Moving avg: 16.32ms 270 frames since last 
[2021-06-03 23:14:04]	,        LuaContext::CityBannerManager, 11.85 ms
[2021-06-03 23:14:04]	,    SerialEvent::GameCoreEventPlaybackComplete, 12.01 ms
[2021-06-03 23:14:04]	, WONDERMOVIE: Turn number: 231. Visible mesh count: 394
[2021-06-03 23:14:04]	,----- FRAME: 29760 time: 26.54ms Moving avg: 16.30ms 17 frames since last 
[2021-06-03 23:14:04]	,            LuaContext::CityBannerManager, 9.54 ms
[2021-06-03 23:14:04]	,        SerialEvent::GameCoreEventPlaybackComplete, 9.80 ms
[2021-06-03 23:14:04]	, WONDERMOVIE: Turn number: 231. Visible mesh count: 394
[2021-06-03 23:14:04]	,----- FRAME: 29774 time: 24.43ms Moving avg: 16.38ms 15 frames since last 
[2021-06-03 23:14:05]	,    SerialEvent::GameCoreEventPlaybackComplete, 5.04 ms
[2021-06-03 23:14:05]	,----- FRAME: 29785 time: 22.57ms Moving avg: 16.28ms 12 frames since last 
[2021-06-03 23:14:05]	,LuaContext::CityBannerManager, 7.66 ms
[2021-06-03 23:14:05]	,SerialEvent::GameCoreEventPlaybackComplete, 7.84 ms
[2021-06-03 23:14:05]	,----- FRAME: 29796 time: 22.77ms Moving avg: 16.25ms 12 frames since last 
[2021-06-03 23:14:06]	,                    DoGameStateSaveRequest, 679.61 ms
[2021-06-03 23:14:06]	,                SerialEvent::PreTurnBegin, 681.11 ms
[2021-06-03 23:14:06]	,----- FRAME: 29888 time: 15.80ms Moving avg: 16.25ms 93 frames since last 
[2021-06-03 23:14:06]	,            GameCoreEvent::TurnBegin, 8.55 ms
[2021-06-03 23:14:07]	,----- FRAME: 29893 time: 63.39ms Moving avg: 16.97ms 6 frames since last 
[2021-06-03 23:14:07]	,            LuaContext::CityBannerManager, 8.28 ms
[2021-06-03 23:14:07]	,        GameCoreEvent::PlayerTurnActivated, 8.82 ms
[2021-06-03 23:14:07]	, WONDERMOVIE: Turn number: 232. Visible mesh count: 392
[2021-06-03 23:14:07]	,----- FRAME: 29902 time: 39.77ms Moving avg: 17.08ms 10 frames since last 
[2021-06-03 23:14:07]	,    WorldView_Update_JobSetWait, 11.93 ms
[2021-06-03 23:14:07]	,----- FRAME: 29939 time: 21.87ms Moving avg: 16.85ms 38 frames since last 
[2021-06-03 23:14:16]	,                                                    SerialEvent::UnitSelectionChanged, 5.03 ms
[2021-06-03 23:14:16]	,----- FRAME: 30437 time: 16.04ms Moving avg: 16.25ms 499 frames since last 
[2021-06-03 23:14:46]	,SerialEvent::UnitSelectionChanged, 5.17 ms
[2021-06-03 23:14:46]	,----- FRAME: 32206 time: 15.60ms Moving avg: 16.13ms 1770 frames since last 
[2021-06-03 23:14:52]	,ModelContext_updateVises, 21.30 ms
[2021-06-03 23:14:52]	,----- FRAME: 32566 time: 37.62ms Moving avg: 16.54ms 361 frames since last 
[2021-06-03 23:14:56]	,                    LuaContext::CityBannerManager, 55.44 ms
[2021-06-03 23:14:56]	,                SerialEvent::GameCoreEventPlaybackComplete, 55.57 ms
[2021-06-03 23:14:56]	,            GameViewState_UpdateGameCore, 55.62 ms
[2021-06-03 23:14:56]	, WONDERMOVIE: Turn number: 232. Visible mesh count: 392
[2021-06-03 23:14:56]	,----- FRAME: 32827 time: 77.46ms Moving avg: 16.84ms 262 frames since last 
[2021-06-03 23:14:57]	,                        LuaContext::DiplomacyActionView, 91.90 ms
[2021-06-03 23:14:57]	,                    GameCoreEvent::DiplomacyStatement, 92.15 ms
[2021-06-03 23:14:57]	,                Civ6App_PublishGameCoreEvents, 107.24 ms
[2021-06-03 23:14:57]	,            Civ6App_PublishEvents, 107.83 ms
[2021-06-03 23:14:57]	, WONDERMOVIE: Turn number: 232. Visible mesh count: 392
[2021-06-03 23:14:57]	,----- FRAME: 32847 time: 112.16ms Moving avg: 18.34ms 21 frames since last 
[2021-06-03 23:15:07]	,                                                                                    LuaContext::CityBannerManager, 12.57 ms
[2021-06-03 23:15:07]	,                                                                                SerialEvent::GameCoreEventPlaybackComplete, 12.72 ms
[2021-06-03 23:15:07]	,----- FRAME: 33474 time: 32.90ms Moving avg: 17.60ms 628 frames since last 
[2021-06-03 23:15:07]	,                LuaContext::CityBannerManager, 10.17 ms
[2021-06-03 23:15:07]	,            SerialEvent::GameCoreEventPlaybackComplete, 10.39 ms
[2021-06-03 23:15:07]	,----- FRAME: 33485 time: 24.81ms Moving avg: 17.42ms 12 frames since last 
[2021-06-03 23:15:08]	,                    LuaContext::CityBannerManager, 5.31 ms
[2021-06-03 23:15:08]	,                SerialEvent::GameCoreEventPlaybackComplete, 5.46 ms
[2021-06-03 23:15:08]	,----- FRAME: 33495 time: 25.61ms Moving avg: 17.21ms 11 frames since last 
[2021-06-03 23:15:08]	,                LuaContext::CityBannerManager, 11.09 ms
[2021-06-03 23:15:08]	,            GameCoreEvent::GovernmentPolicyChanged, 11.62 ms
[2021-06-03 23:15:08]	,                LuaContext::CityBannerManager, 7.57 ms
[2021-06-03 23:15:08]	,            GameCoreEvent::GovernmentPolicyChanged, 7.75 ms
[2021-06-03 23:15:08]	,                LuaContext::CityBannerManager, 9.66 ms
[2021-06-03 23:15:08]	,            GameCoreEvent::GovernmentPolicyChanged, 9.89 ms
[2021-06-03 23:15:08]	,                LuaContext::CityBannerManager, 7.59 ms
